sim,auroc,auprc
474,0.647209178,0.163396158
475,0.646759008,0.169926426
476,0.644291629,0.16637449
477,0.650730305,0.168534787
478,0.638024905,0.162214787
479,0.656796137,0.168883572
480,0.652683447,0.168507102
481,0.642407713,0.164784278
482,0.644251163,0.164885717
483,0.642307497,0.16353986
484,0.640548953,0.157804161
485,0.64214196,0.165770909
486,0.647022979,0.166746956
487,0.646300426,0.169208387
488,0.641604426,0.164850702
489,0.643012295,0.163037985
490,0.649665925,0.171892921
491,0.64473188,0.164644236
492,0.647261452,0.163436985
493,0.644068333,0.162090911
494,0.650534549,0.168159083
495,0.644818836,0.164834214
496,0.642031576,0.166556737
497,0.650260996,0.166042155
498,0.647775433,0.165630482
499,0.646661954,0.168068078
500,0.648230731,0.167303595
501,0.642082366,0.167903539
502,0.64730694,0.164284787
503,0.647777389,0.163882494
504,0.644072708,0.163984374
505,0.642660794,0.164062918
506,0.651068032,0.176772348
507,0.647885298,0.167589379
508,0.648012675,0.164750655
509,0.64764023,0.169841981
510,0.643714876,0.168647251
511,0.638689115,0.163005274
512,0.64295252,0.162277328
513,0.647122567,0.166535301
514,0.6490899,0.16612417
515,0.641538653,0.168039793
516,0.644757321,0.167419697
517,0.639317921,0.160545129
518,0.649479361,0.170380874
519,0.640814607,0.165809671
520,0.647290617,0.161703893
521,0.650260168,0.165663513
522,0.641581875,0.16090894
523,0.641108195,0.164329502
524,0.645954941,0.164950183
525,0.645699473,0.166657826
526,0.647026033,0.163346451
527,0.652053918,0.16785745
528,0.647686353,0.167289297
529,0.650641925,0.17072363
530,0.645474099,0.168961701
531,0.649327888,0.167502589
532,0.646355879,0.164898016
533,0.645554735,0.165966219
534,0.647316874,0.16595555
535,0.649063704,0.166413247
536,0.647842136,0.165300854
537,0.645053962,0.165939978
538,0.649047529,0.167838635
539,0.646982984,0.164338089
540,0.648001077,0.16827722
541,0.645193485,0.166562831
542,0.645229579,0.16505934
543,0.649240181,0.16439016
544,0.650688513,0.167373354
545,0.645613244,0.167050101
546,0.64833437,0.164904542
547,0.649699905,0.166368403
548,0.642066821,0.164130804
549,0.639961723,0.162183636
550,0.640888003,0.160897419
551,0.650723847,0.169335356
552,0.645006326,0.167002656
553,0.651265466,0.168743911
554,0.643443522,0.165562311
555,0.64389988,0.165393812
556,0.644931197,0.16689854
557,0.646893596,0.163453323
558,0.649712493,0.16773584
559,0.638879365,0.15820577
560,0.651222751,0.169090869
561,0.649509082,0.163877163
562,0.659220602,0.171644658
563,0.650212889,0.166108481
564,0.647915907,0.165405305
565,0.650398137,0.169974287
566,0.644362361,0.163783911
567,0.636656992,0.155895103
568,0.64644186,0.164152262
569,0.650891102,0.169228772
570,0.648138107,0.171806941
571,0.651300381,0.167964421
572,0.647336305,0.171512283
573,0.648082637,0.170307013
574,0.647626694,0.169598055
575,0.651846222,0.167052224
576,0.65052552,0.167652956
577,0.650492805,0.169015832
578,0.643951073,0.166537694
579,0.646695084,0.162994992
580,0.645058377,0.164341483
581,0.637793379,0.163204431
582,0.641997585,0.166443385
583,0.645178071,0.164439435
584,0.639069278,0.162273545
585,0.650815513,0.17161196
586,0.644211548,0.165458539
587,0.648381646,0.166189939
588,0.640700713,0.164619034
589,0.650011868,0.170176932
590,0.649458807,0.170327358
591,0.641185787,0.166095291
592,0.644024901,0.165759782
593,0.653635788,0.167790995
594,0.64780153,0.169488109
595,0.641220615,0.164757416
596,0.643380831,0.163623756
