iter,top_agree,roc_params,roc_est,roc_roc,roc_prc,prc_params,prc_est,prc_roc,prc_prc
136,TRUE,"0.06, 119",0.6133713844348258,0.614020706208068,0.14239783077824045,"0.06, 119",0.14243960847059842,0.614020706208068,0.14239783077824045
137,TRUE,"0.06, 118",0.6271395574398304,0.6166095960041849,0.14567725367854525,"0.06, 118",0.15342329961079912,0.6166095960041849,0.14567725367854525
138,FALSE,"0.08, 114",0.6197471173281306,0.6122085119219058,0.1448779174104384,"0.15, 50",0.1382350210909089,0.6145017402665262,0.1466609592344064
139,TRUE,"0.07, 74",0.6231434170924617,0.6261752331861726,0.1551463402113539,"0.07, 74",0.15176475155055025,0.6261752331861726,0.1551463402113539
140,TRUE,"0.05, 43",0.6463158315751583,0.6266652115982665,0.14920596648244439,"0.05, 43",0.17741581656584698,0.6266652115982665,0.14920596648244439
141,FALSE,"0.06, 135",0.6399619034286914,0.6185629141075342,0.1499973079797628,"0.07, 70",0.1622706451548725,0.6210819088320592,0.1523289976334661
142,FALSE,"0.11, 71",0.6283664470197682,0.6120921046746142,0.1461254785810277,"0.16, 97",0.1556092191622669,0.5990109066842724,0.1392681214909083
143,TRUE,"0.01, 100",0.6329455349018588,0.6211069544493706,0.1530243796444459,"0.01, 100",0.16617306159692916,0.6211069544493706,0.1530243796444459
144,TRUE,"0.06, 113",0.6183683468487836,0.6235741538549169,0.15085084033083346,"0.06, 113",0.15393851465582045,0.6235741538549169,0.15085084033083346
145,TRUE,"0.06, 98",0.6064414202721755,0.6213804659451315,0.1469659828901016,"0.06, 98",0.1274395842040313,0.6213804659451315,0.1469659828901016
146,TRUE,"0.19, 32",0.6309017188453039,0.6174459502755186,0.14748247798681766,"0.19, 32",0.15605205135038985,0.6174459502755186,0.14748247798681766
147,TRUE,"0.07, 74",0.6432161105500505,0.6296841313268815,0.15065660461712577,"0.07, 74",0.16204315253799,0.6296841313268815,0.15065660461712577
148,FALSE,"0.08, 130",0.6187636030470826,0.6199269301517324,0.15084005113490379,"0.24, 43",0.13644262443346641,0.6136743280951664,0.14664227415098657
149,TRUE,"0.09, 39",0.6336654410587972,0.6246913244994282,0.15215410546559785,"0.09, 39",0.16839090290256745,0.6246913244994282,0.15215410546559785
150,FALSE,"0.11, 123",0.6228426981507766,0.6138789794542363,0.14584151132839407,"0.1, 43",0.16128468164856796,0.6213225540093789,0.15171245861669075
151,TRUE,"0.03, 53",0.5905948911882276,0.621978075306127,0.15476897719520333,"0.03, 53",0.14186622905873844,0.621978075306127,0.15476897719520333
152,FALSE,"0.06, 116",0.5991710746032857,0.6191723957119325,0.15515678655909246,"0.04, 82",0.13784494009680945,0.6242934749020751,0.1565810036888308
153,FALSE,"0.15, 54",0.6129468000832187,0.612334542503633,0.14646157451082067,"0.04, 144",0.15775168371258952,0.6220374762997987,0.15227935860667505
154,TRUE,"0.08, 70",0.6245712885840274,0.6322795036637445,0.1470477585511072,"0.08, 70",0.13985676246113043,0.6322795036637445,0.1470477585511072
155,TRUE,"0.04, 107",0.6206438928483657,0.6285435935958793,0.15435373021545304,"0.04, 107",0.15926333823537303,0.6285435935958793,0.15435373021545304
156,TRUE,"0.14, 33",0.6141757241848234,0.626508074595999,0.15183252542110073,"0.14, 33",0.14577887288915997,0.626508074595999,0.15183252542110073
157,TRUE,"0.02, 100",0.6369411752942236,0.6295413610618826,0.14974802884748625,"0.02, 100",0.15555977245554148,0.6295413610618826,0.14974802884748625
158,TRUE,"0.09, 38",0.6392063436335458,0.6185702879072958,0.14803759367716193,"0.09, 38",0.15491009119190594,0.6185702879072958,0.14803759367716193
